DirectorateTeam,PercentageUsedWisdom,PercentageAddedDocument,PercentageAdded10PlusDocuments,PercentageEmailedLink
Finance & Performance,0.94,0.92,0.82,0.61
Northern Ireland and Organisational Development,1,0.8,0.48,0.62
Openness Data & Digital,0.93,0.57,0.35,0.37
Operational Delivery Group,0.91,0.37,0.23,0.17
Private Office and Secretariats,0.93,0.93,0.93,0.87
Regulatory and Legal Strategy Directorate,0.87,0.67,0.42,0.4
Science and Policy,0.96,0.74,0.5,0.43
Wales & Local Delivery,0.96,0.85,0.64,0.62
