DirectorateTeam,PercentageUsedWisdom,PercentageAddedDocument,PercentageAdded10PlusDocuments,PercentageEmailedLink
Finance & Performance,1,0.87,0.64,0.58
Northern Ireland and Organisational Development,0.94,0.63,0.51,0.37
Openness Data & Digital,0.96,0.5,0.28,0.37
Operational Delivery Group,0.72,0.29,0.19,0.12
Private Office and Secretariats,1,1,0.73,0.73
Regulatory and Legal Strategy Directorate,0.95,0.7,0.39,0.41
Science and Policy,0.92,0.65,0.44,0.28
Wales & Local Delivery,0.96,0.81,0.59,0.46
