DirectorateTeam,PercentageUsedWisdom,PercentageAddedDocument,PercentageAdded10PlusDocuments,PercentageEmailedLink
Finance & Performance,0.94,0.86,0.62,0.63
Northern Ireland and Organisational Development,0.94,0.66,0.5,0.48
Openness Data & Digital,0.91,0.57,0.3,0.5
Operational Delivery Group,0.81,0.38,0.26,0.16
Private Office and Secretariats,1,1,0.8,0.67
Regulatory and Legal Strategy Directorate,0.89,0.73,0.51,0.47
Science and Policy,0.95,0.71,0.53,0.41
Wales & Local Delivery,0.96,0.84,0.62,0.46
