DirectorateTeam,PercentageUsedWisdom,PercentageAddedDocument,PercentageAdded10PlusDocuments,PercentageEmailedLink
Finance & Performance,1,0.93,0.65,0.55
Northern Ireland and Organisational Development,0.96,0.71,0.45,0.49
Openness Data & Digital,0.98,0.52,0.28,0.38
Operational Delivery Group,0.77,0.37,0.22,0.14
Private Office and Secretariats,0.94,0.88,0.75,0.75
Regulatory and Legal Strategy Directorate,0.93,0.69,0.42,0.31
Science and Policy,1,0.79,0.48,0.45
Wales & Local Delivery,1,0.88,0.56,0.62
