DirectorateTeam,PercentageUsedWisdom,PercentageAddedDocument,PercentageAdded10PlusDocuments,PercentageEmailedLink
Finance & Performance,0.97,0.9,0.6,0.58
Northern Ireland and Organisational Development,0.98,0.81,0.58,0.55
Openness Data & Digital,0.95,0.59,0.3,0.45
Operational Delivery Group,0.85,0.49,0.38,0.2
Private Office and Secretariats,0.8,0.8,0.66,0.53
Regulatory and Legal Strategy Directorate,0.97,0.77,0.51,0.36
Science and Policy,0.95,0.75,0.52,0.42
Wales & Local Delivery,0.8,0.77,0.53,0.52
