DirectorateTeam,PercentageUsedWisdom,PercentageAddedDocument,PercentageAdded10PlusDocuments,PercentageEmailedLink
Finance & Performance,1.03,0.91,0.66,0.43
Northern Ireland & Organisational Dev.,0.98,0.83,0.5,0.41
"Openness, Data & Digital",0.98,0.46,0.25,0.21
Operational Delivery Group,0.75,0.39,0.18,0.13
Regulatory and Legal Strategy Directorate,0.93,0.65,0.44,0.27
Science and Policy,0.98,0.74,0.55,0.26
Wales & Local Delivery,0.99,0.85,0.38,0.35
